"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"21",21,"MASERATI Ghibli (1998.)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15469","Nagykocsi","Coupe","Benzin",NA,6,206,280,260,5.7,310,13.21,1870,1775,4233,1300,2,5
"22",22,"MASERATI Ghibli (Automata)  (1998.)","https://katalogus.hasznaltauto.hu/maserati/ghibli_automata-15470","Nagykocsi","Coupe","Benzin",NA,6,206,280,255,5.7,303,12.91,1910,1775,4233,1300,2,5
"23",23,"MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15471","Nagykocsi","Coupe","Benzin",15.49,6,209,284,260,5.7,275,11.71,1660,1775,4223,1300,2,4
"24",24,"MASERATI Ghibli 3.0 V6 BT (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_automata-15472","Nagykocsi","Coupe","Benzin",23.632237,6,243,330,263,5.6,223,9.61,1810,1945,4971,1461,4,5
"25",25,"MASERATI Ghibli 3.0 V6 BT (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_automata-15473","Nagykocsi","Coupe","Benzin",28.014118,6,301,409,284,4.8,242,10.41,1870,1945,4971,1461,4,5
"26",26,"MASERATI Ghibli 3.0 V6 BT Q4 (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_bt_q4_automata-15474","Nagykocsi","Coupe","Benzin",29.04758,6,301,409,284,4.8,242,10.41,1870,1945,4971,1461,4,5
"27",27,"MASERATI Ghibli 3.0 D V6 (Automata)  (2015–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_automata-100715","Nagykocsi","Coupe","Dízel",23.760772,6,202,275,250,6.3,158,5.91,2540,1945,4971,1461,4,5
"28",28,"MASERATI Ghibli 3.0 V6 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_automata-112309","Nagykocsi","Coupe","Benzin",26.2712,6,257,350,267,5.6,207,8.91,2450,1945,4971,1461,4,5
"29",29,"MASERATI Ghibli 3.0 V6 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_granlusso_automata-112310","Nagykocsi","Coupe","Benzin",28.809776,6,257,350,267,5.6,207,8.91,2450,1945,4971,1461,4,5
"30",30,"MASERATI Ghibli 3.0 V6 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_gransport_automata-112311","Nagykocsi","Coupe","Benzin",28.809776,6,257,350,267,5.6,207,8.91,2450,1945,4971,1461,4,5
"31",31,"MASERATI Ghibli 3.0 V6 S (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_automata-112312","Nagykocsi","Coupe","Benzin",30.929904,6,316,430,284,4.8,223,9.61,2470,1945,4971,1461,4,5
"32",32,"MASERATI Ghibli 3.0 V6 S GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_granlusso_automata-112313","Nagykocsi","Coupe","Benzin",34.04722,6,316,430,284,4.8,223,9.61,2470,1945,4971,1461,4,5
"33",33,"MASERATI Ghibli 3.0 V6 S GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_gransport_automata-112314","Nagykocsi","Coupe","Benzin",34.04722,6,316,430,284,4.8,223,9.61,2470,1945,4971,1461,4,5
"34",34,"MASERATI Ghibli 3.0 V6 S Q4 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_automata-112315","Nagykocsi","Coupe","Benzin",32.031075,6,316,430,284,4.8,246,10.51,2530,1945,4971,1461,4,5
